Island		quadrat	plot	X.isl	Y.isl	X.quad	Y.quad	Dist.mainland
13		C	3	-80.36021082	43.37068649	-80.36017703	43.37060604	284.55
13		C	4	-80.36021082	43.37068649	-80.36017703	43.37060604	284.55
13		D	1	-80.36021082	43.37068649	-80.36014045	43.3706811	284.55
13		D	2	-80.36021082	43.37068649	-80.36014045	43.3706811	284.55
13		D	3	-80.36021082	43.37068649	-80.36014045	43.3706811	284.55
13		D	4	-80.36021082	43.37068649	-80.36014045	43.3706811	284.55
13		E	1	-80.36021082	43.37068649	-80.36022408	43.37071317	284.55
13		E	2	-80.36021082	43.37068649	-80.36022408	43.37071317	284.55
13		E	3	-80.36021082	43.37068649	-80.36022408	43.37071317	284.55
13		E	4	-80.36021082	43.37068649	-80.36022408	43.37071317	284.55
14		A	1	-80.36027004	43.37233377	-80.3602145	43.37227717	108
14		A	2	-80.36027004	43.37233377	-80.3602145	43.37227717	108
14		A	3	-80.36027004	43.37233377	-80.3602145	43.37227717	108
